feature,importance
districtname,25888
buildingyear,24162
log_frontage,20864
log_area,20687
mintimetoneareststation,16192
log_breadth,15667
year,15441
municipality,12515
log_totalfloorarea,11233
direction,10277
quarter,8209
cityplanning,8155
landshape,6829
maxtimetoneareststation,6027
floorarearatio,5866
municipalitycode,5095
floorplan,4720
use,4036
classification,2770
coverageratio,2357
renovation,1982
structure,1952
purpose,1786
time_to_station_mean,1623
type,1157
region,639
