feature,importance
districtname,26494
buildingyear,25282
log_area,22879
log_frontage,17263
mintimetoneareststation,16882
year,16338
municipality,13479
log_breadth,13230
direction,10745
log_totalfloorarea,9090
quarter,8654
cityplanning,8555
landshape,7379
maxtimetoneareststation,6445
floorarearatio,6333
municipalitycode,5349
use,4694
floorplan,4610
classification,3168
coverageratio,2617
structure,2272
purpose,2132
renovation,2131
time_to_station_mean,1780
type,1413
region,751
