iter	RMSE
260	0.338305015
261	0.3382142278
262	0.3381051164
263	0.3380031729
264	0.3379064671
265	0.3377619461
266	0.3376528277
267	0.3375317425
268	0.3374279153
269	0.337322055
270	0.3371646152
271	0.3370411467
272	0.3369329697
273	0.3368283731
274	0.3367430092
275	0.3366185012
276	0.3365299592
277	0.3364605751
278	0.3363965924
279	0.3362936081
280	0.3362358458
281	0.3361716703
282	0.3360677952
283	0.3360211937
284	0.3358751541
285	0.3357329033
286	0.3356399225
287	0.3355442044
288	0.3354500203
289	0.3353709583
290	0.3352666917
291	0.3351515121
292	0.3350909067
293	0.3350166699
294	0.3348927688
295	0.3348082612
296	0.3347000769
297	0.3345423206
298	0.3344514968
299	0.3343254071
300	0.3342150637
301	0.3341488058
302	0.3340321385
303	0.3339164413
304	0.3338168688
305	0.3337236177
306	0.3336902393
307	0.3335471446
308	0.3333970052
309	0.3333169092
310	0.3332471961
311	0.3331481712
312	0.3330630453
313	0.3330010967
314	0.3329177507
315	0.3327676028
316	0.3326804973
317	0.3325582361
318	0.332497231
319	0.3323867876
320	0.3323188108
321	0.332231269
322	0.3321599051
323	0.3320725492
324	0.3319848499
325	0.33189832
326	0.3318596339
327	0.3317538
328	0.3316661352
329	0.3315634141
330	0.3314656962
331	0.3313635324
332	0.3313144273
333	0.331253918
334	0.3311687804
335	0.3310812562
336	0.3310254979
337	0.3309204114
338	0.3308648582
339	0.330754905
340	0.3306208283
341	0.3305202832
342	0.3304302489
343	0.3303504317
344	0.3303096521
345	0.3301920815
346	0.3301407243
347	0.3300400012
348	0.3299456085
349	0.3298623426
350	0.3297586306
351	0.3296838575
352	0.3296164657
353	0.3295664823
354	0.3294739986
355	0.3294224929
356	0.3293178084
357	0.3292374355
358	0.3291817067
359	0.3291477489
360	0.3290601334
361	0.3290012658
362	0.3289218787
363	0.3288711277
364	0.3288208335
365	0.3287365285
366	0.3286785043
367	0.3286388468
368	0.3285740491
369	0.3284360677
370	0.3283456435
371	0.3282811815
372	0.3282008888
373	0.3281315527
374	0.3280751069
375	0.3279881312
376	0.3278677904
377	0.3277857455
378	0.3277087811
379	0.3276204422
380	0.3275770573
381	0.3274974302
382	0.3274240115
383	0.3273424189
384	0.3272776299
385	0.3272117066
386	0.3271544747
387	0.3271120798
388	0.3270323404
389	0.3269918829
390	0.3269068213
391	0.326817146
392	0.3267716425
393	0.3266840775
394	0.3266494992
395	0.3265801425
396	0.3264116049
397	0.3263414281
398	0.3262819276
399	0.3262235031
400	0.3261535996
401	0.3260205672
402	0.3259608688
403	0.325883604
404	0.3258175087
405	0.3257675707
406	0.3257126265
407	0.3255941454
408	0.3255253823
409	0.3254888621
410	0.3254273515
411	0.3253763031
412	0.3253216169
413	0.3252717511
414	0.3252370886
415	0.3251646036
416	0.3250878143
417	0.3250367756
418	0.324971571
419	0.3249449415
420	0.3249128585
421	0.3248576469
422	0.3247521168
423	0.3247022698
424	0.3246478943
425	0.3245453412
426	0.3244680641
427	0.3243833712
428	0.3243822875
429	0.3242858014
430	0.324261583
431	0.3242014132
432	0.3241305908
433	0.3240590615
434	0.3239933805
435	0.3239123822
436	0.3238451935
437	0.3237981681
438	0.3237452306
439	0.3236694172
440	0.3236271988
441	0.3235774173
442	0.3234727142
443	0.3234296997
444	0.323362367
445	0.3233213954
446	0.3232491436
447	0.3231747065
448	0.3230773787
449	0.3230111838
450	0.322984519
451	0.3229490253
452	0.3228779931
453	0.3227452304
454	0.3227328415
455	0.3226431293
456	0.3225901688
457	0.32258922
458	0.3225102952
459	0.3224315292
460	0.3223953695
461	0.3223853768
462	0.3223277987
463	0.3222703075
464	0.3222007322
465	0.3221460808
466	0.3220855308
467	0.322052221
468	0.3220173996
469	0.3219629327
470	0.3219065814
471	0.3218680618
472	0.3217977482
473	0.3217574938
474	0.321669484
475	0.3216292541
476	0.3215994639
477	0.3215395289
478	0.3214657865
479	0.3214357685
480	0.3213916809
481	0.3213355148
482	0.3212764332
483	0.3212269819
484	0.3211414748
485	0.3210733859
486	0.321006911
487	0.3209509122
488	0.3209175089
489	0.3209122205
490	0.3208515684
491	0.3207960737
492	0.320795041
493	0.3207450207
494	0.3206975856
495	0.3206348689
496	0.3205792772
497	0.3205468299
498	0.3204829357
499	0.3204213271
500	0.3203636452
501	0.3203018461
502	0.3202370096
503	0.3201691711
504	0.3201405996
505	0.3200856785
506	0.3200208785
507	0.3199800586
508	0.3199458511
509	0.3198997177
510	0.3198638514
511	0.3198363156
512	0.319800662
513	0.3197584202
514	0.3197100567
515	0.319671948
516	0.3196205096
517	0.3195694119
518	0.3195307781
519	0.3194894408
520	0.3194314915
521	0.3193869111
522	0.3193558667
523	0.3193181904
524	0.3193177471
525	0.3192915551
526	0.3192905637
527	0.319250592
528	0.3192432929
529	0.3191865415
530	0.3191568645
531	0.3191292989
532	0.3190506731
533	0.319016951
534	0.3189768121
535	0.3189402019
536	0.3188992262
537	0.3188460557
538	0.3188266608
539	0.3187528591
540	0.3186956034
541	0.3186944739
542	0.3186391782
543	0.3185968998
544	0.3185902715
545	0.3185610815
546	0.3185039429
547	0.3184532382
548	0.3184209757
549	0.31836243
550	0.3183614652
551	0.3183258278
552	0.3182949123
553	0.318266382
554	0.318209466
555	0.318191644
556	0.3181586378
557	0.3181039027
558	0.3180678913
559	0.3180164828
560	0.3179885119
561	0.3179397489
562	0.3179145852
563	0.317877049
564	0.3178435292
565	0.3178283451
566	0.3178003028
567	0.3177757473
568	0.317714855
569	0.3176888505
570	0.317644504
571	0.3176101698
572	0.3175732507
573	0.3175269549
574	0.3175031096
575	0.3174717213
576	0.3174174403
577	0.3173526524
578	0.3173132617
579	0.3172625597
580	0.3172225271
581	0.3171793656
582	0.3171403339
583	0.3171234296
584	0.3170991453
585	0.3170572685
586	0.3170515756
587	0.3170272821
588	0.3169811323
589	0.316924758
590	0.3168954928
591	0.316867213
592	0.3168361735
593	0.3168185492
594	0.3167686712
595	0.3167446423
596	0.3166924901
597	0.3166410354
598	0.3166093225
599	0.3165765108
600	0.3165408557
601	0.3164912296
602	0.3164361508
603	0.3164095981
604	0.3163637445
605	0.3163192881
606	0.3162963285
607	0.3162820278
608	0.316230448
609	0.3161744565
610	0.3161497661
611	0.3161413606
612	0.3160899386
613	0.3160496837
614	0.3160108914
615	0.316010114
616	0.3159629481
617	0.3159353166
618	0.3159042265
619	0.3159033924
620	0.3158439533
621	0.3158355586
622	0.3158092937
623	0.3157856367
624	0.3157639858
625	0.3157391328
626	0.3157068553
627	0.315678521
628	0.3156338008
629	0.3156101723
630	0.3155390172
631	0.3154813849
632	0.3154098003
633	0.3153831792
634	0.3153260869
635	0.3152878054
636	0.3152395534
637	0.3151893169
638	0.3151625202
639	0.3151332949
640	0.3151222784
641	0.3150924897
642	0.3150702947
643	0.3150362299
644	0.315013609
645	0.3149526986
646	0.3149126081
647	0.3148689885
648	0.314832948
649	0.314801449
650	0.3147787477
651	0.3147444047
652	0.3147098032
653	0.31467005
654	0.3146434391
655	0.3146308104
656	0.3146160031
657	0.3145884286
658	0.3145788493
659	0.314526111
660	0.3144960044
661	0.3144552817
662	0.3144202469
663	0.3143975062
664	0.3143737786
665	0.3143235644
666	0.3143029955
667	0.3142729334
668	0.3142443139
669	0.3141995834
670	0.3141739071
671	0.3141432403
672	0.3140989334
673	0.3140550823
674	0.314020174
675	0.313941731
676	0.3139165397
677	0.313896158
678	0.313854683
679	0.3138413314
680	0.3137818225
681	0.313750348
682	0.3137310731
683	0.3136878044
684	0.3136420484
685	0.3135881509
686	0.3135298356
687	0.3135095703
688	0.3134559615
689	0.3134312943
690	0.3133929467
691	0.3133656837
692	0.3133117025
693	0.3132930853
694	0.3132655994
695	0.3132369498
696	0.3131913827
697	0.3131484611
698	0.313125222
699	0.313094596
700	0.3130540717
701	0.3130136652
702	0.3130069783
703	0.312987679
704	0.3129397291
705	0.3128935424
706	0.3128661249
707	0.3128315978
708	0.3127788288
709	0.3127712733
710	0.31271233
711	0.3126667206
712	0.3126376976
713	0.3126099139
714	0.3125685913
715	0.3125142209
716	0.3124840128
717	0.3124426285
