iter	Passed	Remaining
642	742064	2720135
643	743004	2718195
644	744950	2719935
645	745807	2717696
646	747015	2716733
647	748909	2718264
648	749730	2715896
649	750396	2712970
650	751258	2710762
651	752577	2710203
652	754574	2712076
653	757544	2717430
654	758765	2716495
655	759688	2714497
656	760643	2712612
657	762645	2714460
658	764766	2716720
659	765662	2714620
660	766435	2712091
661	767637	2711083
662	768611	2709267
663	769577	2707428
664	770592	2705765
665	773862	2712004
666	774818	2710122
667	775751	2708162
668	776746	2706422
669	777787	2704843
670	778800	2703170
671	779887	2701754
672	780798	2699731
673	781625	2697419
674	782694	2695947
675	783919	2695014
676	786331	2698150
677	787372	2696574
678	788292	2694589
679	789413	2693292
680	790340	2691334
681	791287	2689448
682	792401	2688132
683	793477	2686687
684	794455	2684910
685	795316	2682744
686	796107	2680344
687	797111	2678665
688	797931	2676371
689	799052	2675088
690	799964	2673109
691	800861	2671081
692	801902	2669538
693	802827	2667609
694	804001	2666509
695	804995	2664812
696	806599	2665135
697	807798	2664115
698	808968	2662999
699	810080	2661693
700	810998	2659750
701	811788	2657392
702	812675	2655356
703	813504	2653134
704	814436	2651251
705	815348	2649306
706	816352	2647661
707	817838	2647577
708	820960	2652779
709	821923	2650992
710	823094	2649879
711	824034	2648020
712	824885	2645881
713	825846	2644095
714	826735	2642085
715	827846	2640782
716	828672	2638577
717	829532	2636479
